FRAME,TARGET LINK,ROUTE COUNT,FINAL CAPACITY, MALICIOUS TRAFFIC
0,,0,nan,nan
1,1034 -> 969,0,20000,0
2,1034 -> 969,0,20000,0
3,1034 -> 969,0,20000,0
4,1034 -> 969,0,20000,0
5,1034 -> 969,0,20000,0
6,1034 -> 969,0,20000,0
7,1034 -> 969,0,20000,0
8,1034 -> 969,1,16000,4000
9,1034 -> 969,1,20000,0
10,277 -> 212,3,20000,0
11,277 -> 212,3,20000,0
12,277 -> 212,3,20000,0
13,277 -> 212,3,20000,0
14,277 -> 212,3,8000,12000
15,277 -> 212,5,20000,0
16,277 -> 212,5,4000,16000
17,277 -> 212,5,20000,0
18,1035 -> 970,0,20000,0
19,1035 -> 970,0,20000,0
20,1035 -> 970,0,20000,0
21,1035 -> 970,0,20000,0
22,1035 -> 970,0,20000,0
23,1035 -> 970,0,20000,0
24,1035 -> 970,0,20000,0
25,1035 -> 970,0,20000,0
26,1035 -> 970,0,20000,0
27,1035 -> 970,0,20000,0
28,1035 -> 970,0,20000,0
29,1035 -> 970,0,20000,0
30,1035 -> 970,0,20000,0
31,1035 -> 970,0,20000,0
32,1035 -> 970,0,20000,0
33,1035 -> 970,0,20000,0
34,1035 -> 970,1,16000,4000
35,1035 -> 970,1,20000,0
36,278 -> 213,3,20000,0
37,278 -> 213,3,20000,0
38,278 -> 213,3,8000,12000
39,278 -> 213,3,20000,0
40,278 -> 213,3,20000,0
41,278 -> 213,5,20000,0
42,278 -> 213,5,20000,0
43,278 -> 213,5,20000,0
44,1036 -> 971,0,20000,0
45,1036 -> 971,0,20000,0
46,1036 -> 971,0,20000,0
47,1036 -> 971,0,20000,0
48,1036 -> 971,0,20000,0
49,1036 -> 971,0,20000,0
50,1036 -> 971,0,20000,0
